LEGEND:,Unnamed: 0,Unnamed: 1,#,Name (known as),Charity?,Charity #,Charity,Org.,Affiliate of,City,Prov.,Other Names,Website and Social Media,Sex Ed Programs,Other Names Website and Social Media,Name (known as) Charity?
,,,,Pregnancy Centre,,,,,,,,,www.facebook.com/AidToWomen/,,,
,,,,,,,,,,,,,https://twitter.com/AidToronto,,,
,,,,,,,,,,,,,www.instagram.com/aidtowomentoronto/,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,10.0,Alb erta Life Issues,Y,886727791.0,Community,Advocacy,Christian,Edmonton,AB,Runs The Back,www.thebackporch.info/,School presentations www.alies.ca/store,,
,,,,Educational Society,,,"Org.,",,,,,Porch,And their operator www.alies.ca,,,
,,,,(ALIES),,,Resource,,,,,,www.facebook.com/aliesandthebackporch/,,,
,,,,,,,,,,,,,,,,
,,,11.0,Alb erta March for Life,N,,,Advocacy,,Edmonton,AB,,https://albertamarchforlife.com/,,,
,,,,Association,,,,,,,,,www.facebook.com/abMLA/,,,
,,,,,,,,,,,,,,,,
,,,12.0,Alli ance for Life Ontario,N,,,Advocacy,,Guelph,ON,,http://allianceforlife.org/,,,
,,,13.0,Alli ance for Life,N,,,Advocacy,Sask. Pro-life,Saskatoon,SK,,www.allianceforlifesaskatoon.ca/index.ht,,,
,,,,Saskatoon,,,,,,,,,ml,,,
,,,14.0,Alli ance Ressources,N,,,CPC,,Montréal,QC,Umbrella group for,https://femmesenceintes.weebly.com/’,,,
,,,,Grossesse,,,,,,,,several CPCs in,,,,
,,,,,,,,,,,,Quebec,,,,
,,,15.0,AM ARIS Adoption and,Y,135152361.0,Community,Adoption,PCC,Calgary,AB,Formerly: Christian,https://amarisadoption.com/,,,
,,,,Family Support Services,,,"Org.,",,,,,Adoption Services,,,,
,,,,,,,Resource,,,,,Society,,,,
,,,16.0,Anc hor of Hope,Y,140729039.0,Poverty,CPC,PCC / Care Net /,Madoc,ON,Satellite of Belleville,www.anchorofhope.ca,Community education in schools is,,
,,,,Pregnancy and Family,,,,,Evangelical,,,Pregnancy and,,identified in their volunteer section,,
,,,,Care Centre,,,,,,,,Family Care Centre,,https://anchorofhope.ca/volunteers,,
,,,17.0,Ang licans for Life Canada,Y,783980899.0,Religion,Advocacy,Anglican Church,Burlington,ON,,www.anglicansforlifecanada.com,,,
,,,18.0,Ant igonish Right to Life,Y,106717341.0,Poverty,Advocacy,,Antigonish,NS,,www.facebook.com/pages/Antigonish-,,,
,,,,,,,,,,,,,Right-to-Life/1090099094374916,,,
,,,19.0,ASH FAM – A Safe Haven,Y,811455567.0,Community,CPC,Christian,Fort McMurray,AB,(Maternity home,www.ashfam.org/adoptions-options/,,,
,,,,for Adolescent Mothers,,,"Org., Health",,,,,that offers,www.facebook.com/A-Safe-Haven-For-,,,
,,,,,,,,,,,,pregnancy,Adolescent-Mothers-,,,
,,,,,,,,,,,,counselling),1303190503069625/,,,
,,,,,,,,,,,,,https://twitter.com/ashfamorg (not active),,,
,,,,,,,,,,,,,www.instagram.com/asafehavenforadoles,,,
,,,,,,,,,,,,,centmothers/ (not active),,,
,,,20.0,Ass ociation for Reformed,N,,,Advocacy,,Ottawa,ON,Runs We Need a,https://arpacanada.ca/,,,
,,,,Political Action (ARPA),,,,,,,,Law. Has chapters,www.facebook.com/hamiltonareaarpa/,,,
,,,,,,,,,,,,"in some cities,",www.arpaoxford.ca,,,
,,,,,,,,,,,,including Oxford,,,,
,,,,,,,,,,,,"ARPA, Hamilton",,,,
,,,,,,,,,,,,ARPA,,,,
,,,21.0,Atw ell Centre,Y,782780498.0,Community,CPC,Evangelical (was,Halton,ON,Formerly:,https://atwellcentre.com/,SHARE Presentations (Sexual Health and,,
,,,,,,,"Org., Health",,member of PCC,,,Pregnancy Support,www.facebook.com/AtwellCentre/,Relationship Education).,,
,,,,,,,,,and Care Net but,,,Services of,www.instagram.com/atwell_centre/,https://atwellcentre.ca/share/,,
,,,,,,,,,no longer are),,,Hamilton,,"“Using age-appropriate methods,",,
,,,,,,,,,,,,,,S.H.A.R.E. program presenters travel to,,
,,,,,,,,,,,,,,"public and private schools, churches,",,
,,,,,,,,,,,,,,youth and parachurch groups to deliver,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,safe and engaging sexual education,,
,,,,,,,,,,,,,,programs tailed for today’s youth.”,,
,,,,,,,,,,,,,,Three one-hour sessions; one version for,,
,,,,,,,,,,,,,,middle-school another for high-school.,,
,,,22.0,Atw ell Centre,Y,782780498.0,Community,CPC,Evangelical (was,Hamilton,ON,Formerly:,https://atwellcentre.com/,[Duplicate],,
,,,,,,,"Org., Health",,member of PCC,,,Pregnancy Support,www.facebook.com/AtwellCentre/,SHARE Presentations (Sexual Health and,,
,,,,,,,,,and Care Net but,,,Services of,www.instagram.com/atwell_centre/,Relationship Education).,,
,,,,,,,,,no longer are),,,Hamilton,,https://atwellcentre.ca/share/,,
,,,,,,,,,,,,,,"“Using age-appropriate methods,",,
,,,,,,,,,,,,,,S.H.A.R.E. program presenters travel to,,
,,,,,,,,,,,,,,"public and private schools, churches,",,
,,,,,,,,,,,,,,youth and parachurch groups to deliver,,
,,,,,,,,,,,,,,safe and engaging sexual education,,
,,,,,,,,,,,,,,programs tailed for today’s youth.”,,
,,,,,,,,,,,,,,Three one-hour sessions; one version for,,
,,,,,,,,,,,,,,middle-school another for high-school.,,
,,,23.0,Bac k Porch (The),Y,886727791.0,Community,CPC,Alberta Life Issues,Edmonton,AB,Alberta Life Issues,www.thebackporch.info/,School presentations,,
,,,,,,,"Org.,",,Education Society,,,Educational Society,www.facebook.com/aliesandthebackporch,www.alies.ca/store,,
,,,,,,,Resource,,/ Christian,,,(ALIES),/,,,
,,,,,,,,,,,,,www.instagram.com/thebackporchyeg/,,,
,,,24.0,Bac k to LifeCanada,N,,,Advocacy,,Orillia,ON,Affiliated with The,http://backtolifecanada.com/wp/,,,
,,,,,,,,,,,,"Justice Wall,",,,,
,,,,,,,,,,,,Faytene,,,,
,,,,,,,,,,,,Grasseschi?,,,,
,,,25.0,Ban croft Pregnancy Care,Y,867542607.0,Poverty,CPC,PCC / Heartbeat,Bancroft,ON,,www.bancroftpregcare.com,Think Squared,,
,,,,Centre,,,,,Int’l / Care Net /,,,,www.facebook.com/BancroftPregnancyCar,https://bancroftpcc.ca/programs/think-,,
,,,,,,,,,Evangelical,,,,eCentre,squared/,,
,,,,,,,,,,,,,https://bancroftpcc.ca,“a sexual education workshop that,,
,,,,,,,,,,,,,,encourages youth to think through,,
,,,,,,,,,,,,,,sexual decisions with the thoroughness,,
,,,,,,,,,,,,,,they deserve” ... “presents abstinence as,,
,,,,,,,,,,,,,,a way of respecting self and others”,,
,,,,,,,,,,,,,,(allegedly is not abstinence-only),,
,,,,,,,,,,,,,,No-cost presentations.,,
,,,,,,,,,,,,,,“All school presentations occur as a,,
,,,,,,,,,,,,,,result of a teacher’s request or by a,,
,,,,,,,,,,,,,,school’s invitation... classroom or youth,,
,,,,,,,,,,,,,,group grades 7-12.”,,
,,,,,,,,,,,,,,*curriculum available upon request,,
,,,26.0,Bat tleford Right to Life,Y,106776149.0,Poverty,Advocacy,,North,SK,Battlefords Right to,,Donates to Teen-Aid. Abstinence ed per,,
,,,,,,,,,,Battlefield,,Life Corporation,,"CRA return, providing educational",,
,,,,,,,,,,,,,,materials to students for school research,,
,,,,,,,,,,,,,,paper,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,27.0,BC  Teachers and Parents,N,,,Advocacy,,Surrey,BC,,www.youtube.com/BCPTL (inactive),,,
,,,,for Life,,,,,,,,,,,,
,,,28.0,Beg innings Pregnancy,N,,,CPC,,Penticton,BC,Run by Onesky,https://oneskycommunity.com/youth-,,,
,,,,Support Program,,,,,,,,Community,family/pregnancy-support-program/,,,
,,,,,,,,,,,,Resources,,,,
,,,29.0,Bel leville Pregnancy and,Y,140729039.0,Poverty,CPC,PCC / Heartbeat,Belleville,ON,,www.bpfcc.ca/,4U Community Education Program,,
,,,,Family Care Centre,,,,,Int’l / Care Net /,,,,www.facebook.com/BellevillePregnancyCe,http://bellevillepregnancyandfamilycare,,
,,,,,,,,,Evangelical,,,,ntre/,centre.com/community-education.php,,
,,,,,,,,,,,,,www.instagram.com/hereforyou_belleville,"“Available for school presentations,",,
,,,,,,,,,,,,,,"youth groups, and community",,
,,,,,,,,,,,,,,"workshops”. Public or religious, no",,
,,,,,,,,,,,,,,specification. No-cost.,,
,,,,,,,,,,,,,,Grades 7-10. “grade-level workshops,,
,,,,,,,,,,,,,,based on Ontario Curriculum of Health,,
,,,,,,,,,,,,,,and Physical Education”,,
,,,,,,,,,,,,,,A school notice for parents that the,,
,,,,,,,,,,,,,,program was coming to their classroom:,,
,,,,,,,,,,,,,,https://www.bellevillechristianschool.ca,,
,,,,,,,,,,,,,,/download/newsletters/FD04-18-19.pdf,,
,,,30.0,Birt hright Belleville,Y,118810126.0,Community,CPC,Birthright,Belleville,ON,Birthright Belleville,www.birthright.org,“Community programs” listed under,,
,,,,,,,"Org., Health",,,,,Branch,www.facebook.com/pages/category/Social,"services, but no details or link available",,
,,,,,,,,,,,,,-Service/Birthright-Belleville-,,,
,,,,,,,,,,,,,110862453693591/,,,
,,,,,,,,,,,,,https://birthright.org/belleville,,,
,,,31.0,Birt hright Brampton,Y,880192729.0,Poverty,CPC,Birthright,Brampton,ON,,www.birthright.org,“Community programs” listed under,,
,,,,,,,,,,,,,https://birthright.org/brampton,"services, but no details or link available",,
,,,,,,,,,,,,,https://www.centralwesthealthline.ca/disp,,,
,,,,,,,,,,,,,layservice.aspx?id=171542,,,
,,,32.0,Birt hright Brantford,Y,118810258.0,Poverty,CPC,Birthright,Brantford,ON,Birthright of,www.birthright.org,,,
,,,,,,,,,,,,Brantford,https://birthright.org/brantford,,,
,,,33.0,Birt hright Charlottetown,N,,,CPC,Birthright,Charlottetown,PE,Birthright of,www.birthright.org,,,
,,,,,,,,,,,,"Charlottetown,",,,,
,,,,,,,,,,,,"P.E.I., Inc.",,,,
,,,34.0,Birt hright Fredericton,Y,118810316.0,Poverty,CPC,Birthright,Fredericton,NB,Birthright,www.birthright.org,,,
,,,,,,,,,,,,Fredericton Inc.,www.facebook.com/pg/FrederictonBirthrig,,,
,,,,,,,,,,,,,ht/about/,,,
,,,35.0,Birt hright Halifax-,Y,132146788.0,Poverty,CPC,Birthright,Halifax,NS,Birthright of Halifax,www.birthright.org,,,
,,,,Dartmouth,,,,,,,,Dartmouth,,,,
,,,36.0,Birt hright Hamilton,Y,129932919.0,Poverty,CPC,Birthright,Hamilton,ON,Birthright,www.birthright.org,“community programs” no details,,
,,,,,,,,,,,,Organization of,https://birthright.org/hamilton,,,
,,,,,,,,,,,,Hamilton,,,,
,,,37.0,Birt hright International,Y,118810167.0,Community,CPC,Birthright,Toronto,ON,Birthright,www.birthright.org,,,
,,,,,,,"Org., Health",,,,,(Head office),www.facebook.com/BirthrightInternationa,,,
,,,,,,,,,,,,,l/,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,38.0,Birt hright Kingston,Y,131460487.0,Poverty,CPC,Birthright,Kingston,ON,Birthright,www.birthright.org,Might have some educational/outreach,,
,,,,,,,,,,,,,www.facebook.com/pages/Birthright-,"initiatives, but details lacking.",,
,,,,,,,,,,,,,Kingston,,,
,,,,,,,,,,,,,https://www.kingstonbirthright.ca,,,
,,,39.0,Birt hright London,Y,118810217.0,Poverty,CPC,Birthright,London,ON,,www.birthright.org,“Community programs” and “public,,
,,,,,,,,,,,,,https://birthright.org/london/,awareness initiatives” but no details.,,
,,,40.0,Birt hright Moncton,N,,,CPC,Birthright,Moncton,NB,Birthright,www.birthright.org,,,
,,,,,,,,,,,,Birthright Accueil,,,,
,,,,,,,,,,,,Grossesse,,,,
,,,41.0,Birt hright Orangeville,N,,,CPC,Birthright,Orangeville,ON,Birthright of,www.birthright.org,,,
,,,,,,,,,,,,Orangeville,www.facebook.com/BirthrightOrangeville/,,,
,,,42.0,Birt hright Ottawa,Y,890149396.0,Poverty,CPC,Birthright,Ottawa,ON,Birthright of Ottawa,www.birthright.org,,,
,,,,,,,,,,,,,www.facebook.com/birthrightottawa/,,,
,,,,,,,,,,,,,https://twitter.com/Birthrightottaw,,,
,,,43.0,Birt hright Regina,Y,118810555.0,Poverty,CPC,Birthright,Regina,SK,Birthright Regina,www.birthright.org,,,
,,,,,,,,,,,,Inc.,www.facebook.com/BirthrightRegina/,,,
,,,44.0,Birt hright Sudbury,Y,118810498.0,Poverty,CPC,Birthright,Sudbury,ON,Birthright of,www.birthright.org,,,
,,,,,,,,,,,,Sudbury,www.facebook.com/Birthright-of-Sudbury-,,,
,,,,,,,,,,,,Associated with,127495537354700/,,,
,,,,,,,,,,,,Ottawa Birthright,,,,
,,,45.0,Birt hright Vancouver,Y,118810530.0,Poverty,CPC,Birthright,Vancouver,BC,Birthright of,www.birthright.org/vancouver,,,
,,,,,,,,,,,,Vancouver,www.facebook.com/Birthright-Vancouver-,,,
,,,,,,,,,,,,,137897389594007/,,,
,,,46.0,Birt hright Vaughan,Y,818874562.0,Community,CPC,Birthright,Concord/,ON,,www.birthright.org/vaughan,“Community programs” listed under,,
,,,,,,,"Org., Health",,,Vaughan,,,www.facebook.com/pages/category/Pregn,"services, but no details or link available",,
,,,,,,,,,,,,,ancy-Care-Center/Birthright-of-,,,
,,,,,,,,,,,,,Vaughan-335412463827388/,,,
,,,47.0,Birt hright Victoria,Y,119283810.0,Poverty,CPC,Birthright,Victoria,BC,Victoria Birthright,https://birthrightvictoria.org/,,,
,,,,,,,,,,,,Society,www.facebook.com/birthrightvictoria,,,
,,,,,,,,,,,,,www.instagram.com/birthrightvictoria,,,
,,,48.0,Birt hright Windsor,Y,118810324.0,Poverty,CPC,Birthright,Windsor,ON,Birthright of,www.birthright.org,,,
,,,,,,,,,,,,Greater Windsor,,,,
,,,49.0,Bou nd 4 LifeCanada,N,,,Advocacy,,(Online),NAT,(operates “Life,www.bound4life.com/,,,
,,,,,,,,,,,,Prayer Wall”),,,,
,,,50.0,Bou ndary Pregnancy,Y,764399747.0,Community,CPC,"(New, Nov 22)",Grand Forks,BC,Linked to Crisis,Website was suspended in early 2023,,,
,,,,Care Centre Society,,,"Org., Health",,,,,Pregnancy Centre,,,,
,,,,,,,,,,,,of Winnipeg [now,,,,
,,,,,,,,,,,,gone],,,,
,,,51.0,Bra nt Right to Life,N,,,Advocacy,Alliance for Life,Brantford,ON,Brant Right to Life,www.brantrighttolife.ca/,,,
,,,,,,,,,Ont.,,,Charitable Trust,,,,
,,,52.0,Bur naby Pro life Society,Y,118821651.0,Poverty,Advocacy,,Burnaby / New,BC,,No website or social media,,,
,,,,,,,,,,Westminster,,,,,,
,,,53.0,Cal gary Pro life,Y,106830995.0,Poverty,Advocacy,,Calgary,AB,,www.calgaryprolife.com/,Respect Life: Fetal Development (Grade,,
,,,,Association,,,,,,,,,,6-12),,
,,,,,,,,,,,,,,Respect You: You Matter (Grade 5-12),,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,,,,,,,,,,,,https://static1.squarespace.com/static/5,,
,,,,,,,,,,,,,,82498012994cae367195857/t/5b0745d,,
,,,,,,,,,,,,,,7aa4a99be08a2e8b1/1527203288509/c,,
,,,,,,,,,,,,,,pl-brochure.pdf,,
,,,54.0,Cam bridge Right to Life,Y,118826312.0,Poverty,Advocacy,Alliance For Life,Cambridge,ON,,http://cambridgerighttolife.ca/,,,
,,,,,,,,,Ont.,,,,,,,
,,,55.0,Cam pagne Québec-vie,N,,,Advocacy,Campaign Life,Montréal,QC,,www.cqv.qc.ca/,,,
,,,,,,,,,Coalition,,,,www.facebook.com/CQV.QLC,,,
,,,,,,,,,,,,,www.twitter.com/CQV_QLC,,,
,,,,,,,,,,,,,www.flickr.com/photos/campagnequebecv,,,
,,,,,,,,,,,,,ie/,,,
,,,,,,,,,,,,,www.youtube.com/user/CampagneQuebe,,,
,,,,,,,,,,,,,cVie,,,
,,,56.0,Cam paign Life Coalition,N,,,Advocacy,,Toronto,ON,10 offices across,www.campaignlifecoalition.com,,,
,,,,,,,,,,,,Canada (only,,,,
,,,,,,,,,,,,Quebec one listed,,,,
,,,,,,,,,,,,separately above),,,,
,,,57.0,Can ada Family Action,N,,,Advocacy,Christian,Penticton,BC,,https://familyaction.ca/,,,
,,,,Coalition,,,,,,,,,www.facebook.com/Canada-Family-,,,
,,,,,,,,,,,,,Action-1450220631876948/,,,
,,,,,,,,,,,,,https://twitter.com/cdafamilyaction,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCLpLKrAuA4,,,
,,,,,,,,,,,,,vRd.Z-oEjd9b-Lg/videos,,,
,,,58.0,Can ada Silent No More,N,,,Advocacy,,Morinville,AB,(Appears to be run,www.facebook.com/mountenay/,,,
,,,,,,,,,,,,by Denise,,,,
,,,,,,,,,,,,Mountenay of,,,,
,,,,,,,,,,,,charity “Artists in,,,,
,,,,,,,,,,,,Christian Testimony,,,,
,,,,,,,,,,,,Canada Inc.” and,,,,
,,,,,,,,,,,,Together for Life),,,,
,,,59.0,Can adian Centre for Bio-,N,,,Advocacy,LifeCanada,Calgary,AB,Has office in,www.endthekilling.ca,Choice Chain bypasses parental consent,,
,,,,Ethical Reform,,,,,,,,Toronto.,,by preaching outside high schools.,,
,,,,,,,,,,,,Has trained at least,,www.endthekilling.ca/2018/05/09/spea,,
,,,,,,,,,,,,13 spinoff groups in,,king-with-students/,,
,,,,,,,,,,,,various,,,,
,,,,,,,,,,,,cities/regions,,,,
,,,60.0,Can adian Midwives for,N,,,Advocacy,Connected to,(Online),NAT,,www.facebook.com/CanadianMidwivesfor,Physicians for Life does a lot of,,
,,,,Life,,,,,Physicians for Life,,,,Life/,"educational activities - mentorships,",,
,,,,,,,,,,,,,www.physiciansforlife.ca/,"conferences, learning modules",,
,,,,,,,,,,,,,www.instagram.com/cure_ethics/,,,
,,,,,,,,,,,,,https://twitter.com/CdnLifeDocs,,,
,,,,,,,,,,,,,www.facebook.com/CanadianPhysiciansfor,,,
,,,,,,,,,,,,,Life,,,
,,,,,,,,,,,,,www.youtube.com/channel/UCmyCIIEQFk,,,
,,,,,,,,,,,,,ohNQL2p4eJzlA,,,
,,,,,,,Type,Type,(and religious,,,,,,,
,,,,,,,,,affiliation),,,,,,,
,,,61.0,Can adian Physicians for,Y,118835248,Community,Advocacy,,Nepean,ON,,www.physiciansforlife.ca/,Speaks at Catholic and Reformed,,
,,,,Life / Médecins du,,,"Org., Health",,,,,,,Schools. Does many educational,,
,,,,Canada pour le respect,,,,,,,,,,"activities - mentorships, conferences,",,
,,,,de la vie,,,,,,,,,,learning modules.,,
,,,62.0,Car dus Institute (The),Y,118929207,Education,Advocacy,,Hamilton,ON,The former,www.cardus.ca,(Publishes Convivium Magazine:,,
,,,,,,,,,,(Satellite offices,,“Institute of,,www.convivium.ca/),,
,,,,,,,,,,"in Ottawa,",,Marriage and,,,,
,,,,,,,,,,"Calgary, and",,Family Canada”,,,,
,,,,,,,,,,Vancouver),,joined Cardus in,,,,
,,,,,,,,,,,,2016.,,,,
,,,63.0,Cat holic Civil Rights,Y,107910259,Religion,Advocacy,Catholic Church,Toronto,On,St. Pius X Parish,https://ccrl.ca/,,,
,,,,League,,RR0010,,,,,,,,,,
,,,64.0,Cat holic Organization for,N,,,Advocacy,Catholic Church,Ottawa,ON,,https://carfleo.com/2016/05/01/catholic-,"Use to have “In School” brochures, but",,
,,,,Life and Family /,,,,,,,,,organization-for-life-and-family-colf/,no longer on website. Still has many,,
,,,,Organisme Catholique,,,,,,,,,,different references/resources for high,,
,,,,Pour La Vie Et La Famille,,,,,,,,,,schools and elementary to use for,,
,,,,,,,,,,,,,,religious sex education,,
,,,65.0,Cat holic Women's,N,,,Advocacy,Catholic Church,Winnipeg,MB,(National group,www.cwl.ca,,,
,,,,League of Canada,,,,,,,,with over 1200,,,,
,,,,,,,,,,,,parish councils,,,,
,,,,,,,,,,,,across Canada),,,,
,,,66.0,Cen tral Alberta,Y,119112357,Poverty,CPC,PCC / Evangelical,Drumheller,AB,,www.pregnancycare.ca,Reached out to local schools in Aug,,
,,,,Pregnancy Care Centre,,,,,,,,,www.instagram.com/pregnancycare.ca/,"2017, including Olds Koinonia, Olds",,
,,,,,,,,,,,,,,"Junior Senior High School, Olds Junior",,
,,,,,,,,,,,,,,"High School, and Olds College, for “Steps",,
,,,,,,,,,,,,,,to Sexual Health and Post Abortive,,
,,,,,,,,,,,,,,Recovery Education” (P.A.R.E.) programs,,
,,,67.0,Cen tral Alberta,Y,119112357,Poverty,CPC,PCC / Evangelical,Olds,AB,,www.pregnancycare.ca,Reached out to local schools in Aug,,
,,,,Pregnancy Care Centre,,,,,,,,,www.facebook.com/oldsPregnancyCareCe,"2017, including Olds Koinonia, Olds",,
,,,,,,,,,,,,,ntre/,"Junior Senior High School, Olds Junior",,
,,,,,,,,,,,,,www.instagram.com/pregnancycare.ca/,"High School, and Olds College, for “Steps",,
,,,,,,,,,,,,,,to Sexual Health and Post Abortive,,
,,,,,,,,,,,,,,Recovery Education” (P.A.R.E.) programs,,
